lon,lat,track_seg_point_id,ele,time
76.44102133,9.845002667,261,27.1,2024/04/26 10:57:20+00
76.44082533,9.845102667,262,27.2,2024/04/26 10:57:21+00
76.44062633,9.845200167,263,26.6,2024/04/26 10:57:22+00
76.4404295,9.845301833,264,27.1,2024/04/26 10:57:23+00
76.44023383,9.845403167,265,27.6,2024/04/26 10:57:24+00
76.44003817,9.845503167,266,27.9,2024/04/26 10:57:25+00
76.439843,9.8456035,267,28.4,2024/04/26 10:57:26+00
76.43964733,9.845703167,268,28.6,2024/04/26 10:57:27+00
76.4394525,9.845802333,269,28.8,2024/04/26 10:57:28+00
76.43925767,9.845900167,270,28.8,2024/04/26 10:57:29+00
76.43906483,9.8459985,271,29.2,2024/04/26 10:57:30+00
76.43887267,9.846096167,272,29.5,2024/04/26 10:57:31+00
76.43868067,9.8461925,273,29.8,2024/04/26 10:57:32+00
76.4384885,9.846287667,274,29.6,2024/04/26 10:57:33+00
76.43830083,9.846383833,275,30.2,2024/04/26 10:57:34+00
76.438112,9.8464805,276,30.8,2024/04/26 10:57:35+00
76.437922,9.846578667,277,31.4,2024/04/26 10:57:36+00
76.43773367,9.846679167,278,31.8,2024/04/26 10:57:37+00
76.43754967,9.846775333,279,32.1,2024/04/26 10:57:38+00
76.4373645,9.846870833,280,32.5,2024/04/26 10:57:39+00
76.43717817,9.846963333,281,32.9,2024/04/26 10:57:40+00
76.4369895,9.847061,282,33.6,2024/04/26 10:57:41+00
76.43680417,9.847155167,283,34.1,2024/04/26 10:57:42+00
76.4366195,9.847248667,284,34.6,2024/04/26 10:57:43+00
76.43643617,9.8473425,285,35.1,2024/04/26 10:57:44+00
76.43625433,9.847438833,286,36.1,2024/04/26 10:57:45+00
76.43606883,9.847530833,287,36.2,2024/04/26 10:57:46+00
76.4358855,9.847626167,288,36.4,2024/04/26 10:57:47+00
76.435701,9.847719333,289,36.7,2024/04/26 10:57:48+00
76.43551633,9.847811167,290,36.7,2024/04/26 10:57:49+00
76.43532917,9.847908,291,37.1,2024/04/26 10:57:50+00
76.43514483,9.848001667,292,37,2024/04/26 10:57:51+00
76.43495983,9.848098167,293,37.5,2024/04/26 10:57:52+00
76.43477167,9.848192,294,37.1,2024/04/26 10:57:53+00
76.4345855,9.848288167,295,37.1,2024/04/26 10:57:54+00
76.43439867,9.848385333,296,37.1,2024/04/26 10:57:55+00
76.434211,9.848480167,297,37.1,2024/04/26 10:57:56+00
76.4340285,9.848577167,298,37.5,2024/04/26 10:57:57+00
76.433843,9.84868,299,38.1,2024/04/26 10:57:58+00
76.4336515,9.848776833,300,38.1,2024/04/26 10:57:59+00
76.43345867,9.848871,301,37.3,2024/04/26 10:58:00+00
76.433266,9.848970333,302,37.1,2024/04/26 10:58:01+00
76.43307433,9.849064,303,36.4,2024/04/26 10:58:02+00
76.432884,9.849161,304,36.2,2024/04/26 10:58:03+00
76.4326895,9.849259667,305,35.6,2024/04/26 10:58:04+00
76.432496,9.849359167,306,35.5,2024/04/26 10:58:05+00
76.4323035,9.849461167,307,35.6,2024/04/26 10:58:06+00
76.43210917,9.849562167,308,35.6,2024/04/26 10:58:07+00
76.43191783,9.849656833,309,35.2,2024/04/26 10:58:08+00
76.43171917,9.849757,310,34.5,2024/04/26 10:58:09+00
76.43152483,9.849852333,311,34,2024/04/26 10:58:10+00
76.43133017,9.849949167,312,33.5,2024/04/26 10:58:11+00
76.431136,9.850045833,313,33.1,2024/04/26 10:58:12+00
76.43094183,9.850142833,314,32.5,2024/04/26 10:58:13+00
76.43074817,9.8502405,315,32,2024/04/26 10:58:14+00
76.4305545,9.850338333,316,31.9,2024/04/26 10:58:15+00
76.43036017,9.850435833,317,31.6,2024/04/26 10:58:16+00
76.43016567,9.8505335,318,31.3,2024/04/26 10:58:17+00
76.4299715,9.850631167,319,31.3,2024/04/26 10:58:18+00
76.42977817,9.850729,320,31.3,2024/04/26 10:58:19+00
76.42958633,9.850825833,321,31.4,2024/04/26 10:58:20+00
76.42939617,9.8509225,322,31.4,2024/04/26 10:58:21+00
76.4292075,9.851015667,323,31.5,2024/04/26 10:58:22+00
76.42901833,9.851110833,324,31.4,2024/04/26 10:58:23+00
76.42883233,9.851201333,325,31.1,2024/04/26 10:58:24+00
76.42864633,9.8512925,326,31,2024/04/26 10:58:25+00
76.42846917,9.851369167,327,30.4,2024/04/26 10:58:26+00
76.42828733,9.851457,328,30.4,2024/04/26 10:58:27+00
76.428103,9.851550667,329,30.7,2024/04/26 10:58:28+00
76.427915,9.851652167,330,31.3,2024/04/26 10:58:29+00
76.42773417,9.851742333,331,31.3,2024/04/26 10:58:30+00
76.42755333,9.8518345,332,31.5,2024/04/26 10:58:31+00
76.42737283,9.851925833,333,31.8,2024/04/26 10:58:32+00
76.42719383,9.8520155,334,32.1,2024/04/26 10:58:33+00
76.42701617,9.852099,335,32.4,2024/04/26 10:58:34+00
76.42683517,9.852183167,336,32.8,2024/04/26 10:58:35+00
76.42665433,9.852257833,337,32.8,2024/04/26 10:58:36+00
76.42647417,9.852326167,338,32.9,2024/04/26 10:58:37+00
76.42629133,9.852392833,339,33.4,2024/04/26 10:58:38+00
76.426108,9.852452833,340,33.9,2024/04/26 10:58:39+00
76.42592133,9.852509,341,34.1,2024/04/26 10:58:37+00
76.42573483,9.852564333,342,34.7,2024/04/26 10:58:38+00
76.425548,9.852619333,343,35.8,2024/04/26 10:58:39+00
76.4253605,9.852668333,344,36.4,2024/04/26 10:58:40+00
76.4251695,9.8527145,345,36.8,2024/04/26 10:58:41+00
76.42498083,9.8527615,346,37.4,2024/04/26 10:58:42+00
76.42478967,9.8528065,347,37.5,2024/04/26 10:58:43+00
76.42459933,9.852849,348,37.7,2024/04/26 10:58:44+00
76.42447883,9.8529595,349,38.9,2024/04/26 10:58:45+00
76.42429267,9.853007167,350,42.2,2024/04/26 10:58:46+00
76.42410367,9.853048833,351,42.5,2024/04/26 10:58:47+00
76.423908,9.853088333,352,42.9,2024/04/26 10:58:48+00
76.42370833,9.853121167,353,42.9,2024/04/26 10:58:49+00
76.42350983,9.8531515,354,41.4,2024/04/26 10:58:50+00
76.4233245,9.853204333,355,43.8,2024/04/26 10:58:51+00
76.42312833,9.853239167,356,42.2,2024/04/26 10:58:52+00
76.42293717,9.853280167,357,41.7,2024/04/26 10:58:53+00
76.42274467,9.85332,358,41.4,2024/04/26 10:58:54+00
76.42255567,9.853362167,359,41.7,2024/04/26 10:58:55+00
76.42235617,9.853393167,360,40.2,2024/04/26 10:58:56+00
76.42216517,9.8534305,361,40.2,2024/04/26 10:58:57+00
